epoch,train_loss,val_loss,acc,miou,macro_f1,kappa,lr,epoch_sec,batch_ms
1,1.792032,1.635422,0.502277,0.286386,0.435384,0.145217,2.937296e-04,10.91,598.12
2,1.330300,1.111130,0.816418,0.619130,0.752840,0.643554,7.866737e-04,6.13,179.47
3,0.830879,0.709759,0.857794,0.683981,0.802924,0.731997,9.999720e-04,9.70,206.97
4,0.576910,0.544534,0.897706,0.815057,0.897320,0.801592,9.959774e-04,18.28,248.64
5,0.420429,0.438776,0.930551,0.792211,0.874849,0.861021,9.852756e-04,6.72,191.04
6,0.356195,0.339643,0.948663,0.874468,0.932418,0.898557,9.680113e-04,14.78,217.30
7,0.300048,0.302730,0.951224,0.909076,0.952184,0.901687,9.444179e-04,5.44,175.91
8,0.270847,0.255084,0.955581,0.901423,0.947947,0.911577,9.148146e-04,9.80,191.37
9,0.245019,0.249543,0.947716,0.896224,0.945139,0.896671,8.796017e-04,7.49,196.60
10,0.222598,0.218727,0.957008,0.912357,0.954060,0.914271,8.392553e-04,5.59,177.96
11,0.205342,0.211327,0.954996,0.914743,0.955362,0.910713,7.943212e-04,12.20,194.16
12,0.195212,0.218842,0.952758,0.913175,0.954420,0.904969,7.454068e-04,5.72,185.65
13,0.203389,0.194970,0.958513,0.919998,0.958217,0.917047,6.931738e-04,15.05,195.83
14,0.185852,0.187190,0.957965,0.916262,0.956214,0.916391,6.383284e-04,5.94,196.76
15,0.182586,0.185321,0.958699,0.914569,0.955264,0.917482,5.816125e-04,11.04,189.63
16,0.176535,0.181360,0.958191,0.913262,0.954556,0.916901,5.237929e-04,5.56,179.64
17,0.169209,0.174646,0.959527,0.919021,0.957709,0.919412,4.656515e-04,7.11,201.01
18,0.169215,0.170649,0.960292,0.922388,0.959536,0.920814,4.079747e-04,5.69,179.77
19,0.168531,0.173828,0.959587,0.917066,0.956646,0.919557,3.515424e-04,12.39,215.56
20,0.167417,0.172040,0.959634,0.919738,0.958084,0.919316,2.971178e-04,6.35,188.09
21,0.163335,0.171432,0.959956,0.919465,0.957942,0.920154,2.454368e-04,6.18,204.43
22,0.158226,0.167871,0.960252,0.923539,0.960154,0.920781,1.971984e-04,5.53,180.22
23,0.158139,0.169262,0.959845,0.917754,0.957008,0.919865,1.530548e-04,12.23,214.56
24,0.160782,0.166019,0.960126,0.921500,0.959056,0.920566,1.136032e-04,8.22,189.07
25,0.157103,0.164610,0.960646,0.922951,0.959837,0.921495,7.937692e-05,5.69,180.42
26,0.153926,0.164204,0.960248,0.919805,0.958135,0.920804,5.083887e-05,6.84,193.83
27,0.157397,0.164281,0.960543,0.921193,0.958885,0.921308,2.837499e-05,5.80,189.80
28,0.153287,0.164247,0.960579,0.921939,0.959289,0.921360,1.228906e-05,6.15,184.79
29,0.155784,0.164118,0.960613,0.921878,0.959256,0.921436,2.798603e-06,8.00,202.79
30,0.151059,0.164078,0.960609,0.921869,0.959251,0.921428,3.197184e-08,6.27,190.24
